기간	대분류	분류	영상시청	여행야외나들이	컴퓨터게임인터넷검색 등	휴식	사회봉사활동	운동	문화예술관람	문화예술 참여활동	운동경기관람	종교활동	독서	기타
2019	용산구	용산구	28.3	10.8	12.3	1.8	2.5	20.4	4.7	2.2	3.9	6.1	6.5	0.6
2019	성동구	성동구	44.9	11.3	10.6	0.6	5.8	6.1	5.1	0.9	1.1	12.3	1.2	0.2
2019	광진구	광진구	29.6	19.2	10.7	0.1	1.3	9.2	5	1	1.9	18.2	3.2	0.6
2019	동대문구	동대문구	38.6	16.4	11.9	3.3	0.9	5.2	6.4	1.7	2.7	7.8	4.9	0.1
2019	중랑구	중랑구	20.3	17.2	7.7	4.5	1.9	10.3	7.5	1.3	2.3	26.4	0.7	-
2019	성북구	성북구	32.7	27.3	8.2	0.9	2.1	7.9	4.8	0.5	1.3	12.4	1.8	-
2019	강북구	강북구	41.9	19.3	5.6	0.1	7.6	5.8	4.5	0.7	1.5	11.7	0.8	0.3
2019	도봉구	도봉구	25.5	23	9.2	1.2	0.7	4	7.3	3.6	1.9	20.2	2.8	0.6
2019	노원구	노원구	17.2	20.9	8.6	2.1	3	6	7.7	0.9	1.2	30.6	1.6	0.2
2019	은평구	은평구	22	23	5.6	0.4	3.5	5	12.3	1.1	2.6	22.6	1.1	0.7
2019	서대문구	서대문구	30.4	24.1	6.6	0.6	0.9	11.7	11.1	0.8	3.3	7.2	3.2	0.1
2019	마포구	마포구	23.3	29.4	7.9	1.4	3.2	8.9	9	1.2	4.4	9.4	1.6	0.3
2019	양천구	양천구	15.5	12.5	7.2	2.6	0.2	8.1	30	2.5	1	17	3.4	-
2019	강서구	강서구	19	18.5	8.4	4.3	0.5	7	15.8	1.3	5.8	17.5	1.7	0
2019	구로구	구로구	16.2	23.9	5.6	1.4	3.1	8.6	12.3	3.4	5.1	17.4	3.1	-
2019	금천구	금천구	27.7	12.8	12.2	9.6	1.3	15	7.3	0.8	0.6	11.8	0.9	-
2019	영등포구	영등포구	12.8	18.6	3.7	1.3	3.3	16.1	11	7	5	14.5	3	3.5
2019	동작구	동작구	28.1	16.1	7.4	1	5.5	5.6	15	1.1	4.2	14.7	1.1	-
2019	관악구	관악구	19.4	24.4	11.7	4.7	2.3	5.4	10.4	3.1	2.5	11.9	3.2	0.9
2019	서초구	서초구	19.6	19.9	5.7	2.5	1.1	8.6	12.5	1.6	4.9	22	1.6	0.1
2019	강남구	강남구	26.6	17.1	6.7	1.3	3.8	10.5	13	1.7	2.5	13.5	1.9	1.4
2019	송파구	송파구	25.2	29.7	7.5	4.3	3.4	7.5	7.5	0.6	1.8	10.3	2.1	0.1
2019	강동구	강동구	21.8	27.6	7.2	0.1	2.6	11.2	12.7	0.9	1.8	11.8	2	0.3
2020	서울시	서울시	33.6	15.2	7.8	6.4	1.9	10.9	5.9	1.5	2.8	11.6	2	0.5
2020	성별	남자	32.7	14.6	9.6	6.1	1.5	12.8	5.2	1.4	4	9.8	1.9	0.5
2020	성별	여자	34.4	15.8	6.2	6.7	2.3	9.1	6.6	1.5	1.7	13.3	2	0.4
2020	연령별	10대	18.8	10.4	29.9	3.1	2.9	9	8.9	0.7	1.5	11.4	2.8	0.5
2020	연령별	20대	23.9	15.8	15.9	5.9	2.1	9.2	11.1	1.8	3.7	8.1	2.1	0.3
2020	연령별	30대	29.3	20.4	8.1	8.3	1.3	8.7	7	2.4	4.1	7.3	2.6	0.4
2020	연령별	40대	38.2	17.3	5.5	8	1.2	8.9	4.8	1.7	2.8	8.9	2.5	0.4
2020	연령별	50대	38	14.3	4.4	6.1	1.7	12.5	4.5	1	2.6	13	1.5	0.3
2020	연령별	60대 이상	39.2	11.2	2.1	5.1	2.7	14.1	3.1	0.9	1.6	18.1	1.3	0.7
2020	학력별	중졸 이하	46	9	2.2	5.6	2.3	11	2	0.4	1	18.7	1.1	0.8
2020	학력별	고졸 이하	33.7	13.1	8.8	5.9	2.3	12.4	5.3	1.4	2.5	12.8	1.5	0.4
2020	학력별	대졸 이하	30.2	17.8	9	6.8	1.7	10.1	7.4	1.7	3.3	9.4	2.2	0.4
2020	학력별	대학원 이상	34.9	16.9	5.1	7.9	0.7	9.5	4.4	2	3.9	9.6	4.7	0.5
2020	소득별	100만원 미만	55.7	6.9	4.5	9.7	0.8	5.7	2	1.4	2.7	8.6	1.8	0.3
2020	소득별	100-200만원 미만	43.9	9.9	4.4	6.9	1.6	10	4.6	1.2	1.9	13.7	1.7	0.3
2020	소득별	200-300만원 미만	38.9	11.3	6.9	7.1	1.8	10.2	5.6	1.2	2.1	12.3	1.8	0.6
2020	소득별	300-400만원 미만	34.3	15.1	8.6	6.2	1.9	10.8	4.6	1.4	3.1	11.3	2	0.7
2020	소득별	400-500만원 미만	31.5	15.7	9.1	6.3	2.2	9.7	6.1	1.5	2.6	12.8	2	0.5
2020	소득별	500만원 이상	27.6	18.4	8.5	5.8	2	12.3	7.1	1.6	3.2	11.1	2.1	0.4
2020	혼인상태별	기혼	35.2	17.4	4.2	6.9	1.6	11	4.6	1.7	2.9	12.1	1.9	0.4
2020	혼인상태별	미혼	27.2	13	16.5	6	2	10.1	9.6	1.2	3.1	8.5	2.5	0.3
2020	혼인상태별	이혼/사별/기타	42.1	9.5	3.1	4.9	3.7	12	2.8	0.8	1.2	18.1	1.1	0.8
2020	지역대분류	도심권	34.2	13	8.6	7.8	3.4	15.8	2.6	1	1.9	8.8	2.6	0.3
2020	지역대분류	동북권	33.9	15	7.1	6.3	2	10.1	6	1.3	2.5	13.5	1.9	0.6
2020	지역대분류	서북권	34.4	15.5	6.9	4.7	3.4	12.3	8.7	1	3.4	7.7	1.7	0.3
2020	지역대분류	서남권	34.9	14.5	9.2	7.3	1.3	9.1	5.3	1.7	3.1	11.2	2.1	0.3
2020	지역대분류	동남권	30.5	17	7.2	5.9	1.6	12.6	5.8	1.8	2.6	12.4	1.9	0.7
2020	종로구	종로구	35	13	9.8	5.6	6.2	14.3	4	0.6	0.9	7.2	3.1	0.6
2020	중구	중구	36.5	16.1	8.1	12.5	0.8	10.2	1.6	1.1	1.4	9.4	2.1	0.3
2020	용산구	용산구	32.4	11.2	8.2	6.6	3.1	20.1	2.2	1.1	2.9	9.5	2.5	0.1
2020	성동구	성동구	34	14	7.3	6.6	1.5	9.7	8.4	2.1	2.9	8.1	2.9	2.6
2020	광진구	광진구	30.5	14.3	6.7	10.5	3	9.1	8.3	0.7	3.5	11.1	2.3	0
2020	동대문구	동대문구	42.8	14	6.7	6.8	0.8	8.8	3.9	1.6	2.1	9.6	2.1	0.7
2020	중랑구	중랑구	37.1	11.7	9.6	7.8	0.9	13	5.1	0.7	1.6	10	2.4	0.3
2020	성북구	성북구	32.2	15.5	7.1	4.3	1.1	8.2	7.4	2.2	4.4	16.1	1.1	0.4
2020	강북구	강북구	33.8	15.4	4.9	7.3	4.5	7.9	5.8	2.4	0.9	15.5	1.4	0.1
2020	도봉구	도봉구	29.9	21.3	8.1	4.3	1.3	12.4	4	0.9	2.2	12.3	2.4	0.9
2020	노원구	노원구	31.5	14.3	6.4	4.3	2.7	10.9	5.3	0.4	2	20.9	1.2	0.1
2020	은평구	은평구	33.9	11.1	6	4.3	4.5	15.6	9.3	0.7	4.4	8	2	0.2
2020	서대문구	서대문구	38.1	13.8	8	4.8	2.7	10.4	10.8	0.9	3	6	1.3	0.3
2020	마포구	마포구	32	22.4	7.1	5.2	2.7	9.6	6.3	1.5	2.4	8.7	1.8	0.4
2020	양천구	양천구	30.5	14.2	11.6	6.5	0.2	12.7	6.9	1.4	1.7	11.8	2.2	0.4
2020	강서구	강서구	38.4	15.2	10	7.5	0.4	8	5.3	1.8	2.1	8.9	2.1	0.2
2020	구로구	구로구	35	14.9	7.7	4.2	1	9.2	4.3	1.1	2.6	18.5	1.3	0.2
2020	금천구	금천구	40	10.6	10.2	6.8	0.9	10.7	7	2.1	2	7.9	1.2	0.6
2020	영등포구	영등포구	24.3	19.1	3.9	7.1	3.5	9.9	6.2	1	7.2	14.9	2.8	0.1
2020	동작구	동작구	36.5	11.9	7.6	14.7	1.7	6.6	3.6	1.9	2.5	10.7	1.8	0.5
2020	관악구	관악구	38.5	14	11.6	5	1.7	7.7	4.8	2.3	4.1	7.1	2.9	0.3
2020	서초구	서초구	33.2	12.7	4.7	8.9	1.4	15.1	5.3	2.5	2.1	11.6	2.5	0
2020	강남구	강남구	28.6	16.5	6.6	3.8	1.9	11.5	9	1.8	2.8	15.7	1.6	0.1
2020	송파구	송파구	28.8	19.5	8.3	6.7	1.6	12.5	4.8	1.3	3	11.2	1.6	0.8
2020	강동구	강동구	32.9	18.1	8.4	4.2	1.4	12	4.1	1.9	2.2	11.2	2.1	1.7
