기간	대분류	분류	합계	TV  또는 비디오시청	여행야외나들이	컴퓨터게임인터넷검색 등	휴식	사회활동	운동	문화예술관람	창작적 취미활동	운동경기관람	종교활동	기타
2016	지역대분류	도심권	100	47.6	11.5	6.5	6.7	0.7	6.8	7.1	3.5	2.9	6.8	0
2016	지역대분류	동북권	100	41	12.7	8.1	6.6	0.9	6.8	7.5	4.3	3.5	8.7	0.1
2016	지역대분류	서북권	100	42.4	13.7	6.2	6	1	4.5	10	4.6	2	9.7	0
2016	지역대분류	서남권	100	46.5	13	6.2	6.9	1.1	5.4	6.8	3.8	2.1	8.1	0.1
2016	지역대분류	동남권	100	40.3	14.4	6.7	6.1	2.2	6.8	7.4	3.9	3.5	8.6	0
2016	종로구	종로구	100	52.4	10	5.9	6.8	0.8	6.5	5.2	2.6	0.8	9.1	-
2016	중구	중구	100	44.8	12.8	7.9	7.4	0.8	4.6	9.7	3.5	2.3	6.3	-
2016	용산구	용산구	100	46.2	11.7	6	6.3	0.5	8.3	6.7	4	4.6	5.6	0.1
2016	성동구	성동구	100	45.7	10.5	7.7	4.8	0.6	5.4	6.5	6	5.1	7.8	-
2016	광진구	광진구	100	46.4	12.9	6.4	5.6	0.4	7.2	3.8	4.1	4	9.1	-
2016	동대문구	동대문구	100	44.3	10.1	11.2	7.1	0.9	6.2	5.6	4.4	2.1	7.9	0.3
2016	중랑구	중랑구	100	35.8	17.2	6.6	6.4	1.6	7	8.1	4.4	3.9	8.9	0.1
2016	성북구	성북구	100	38.5	13.3	8.6	8.9	0.7	7.4	8.6	4.2	2.1	7.5	0.1
2016	강북구	강북구	100	36.4	14.3	5.5	6.4	1.1	9.4	10.8	1.9	5	8.8	0.2
2016	도봉구	도봉구	100	40	12.5	11.3	4.4	1.1	8	7	4.9	2.4	8.4	-
2016	노원구	노원구	100	42	10.6	7.4	7.4	0.6	4.8	8.5	4.5	3.7	10.5	0.1
2016	은평구	은평구	100	36.8	13.1	7.1	7.1	1	4.6	13.1	5.4	2.2	9.6	0.1
2016	서대문구	서대문구	100	52.2	10.8	7.1	4	0.6	2.9	6.1	3.9	1.8	10.6	0.1
2016	마포구	마포구	100	41.5	16.8	4.5	6.1	1.3	5.6	9.2	4.1	1.8	9.1	-
2016	양천구	양천구	100	43.1	12.4	5.5	7.4	0.5	4.5	8	3.8	2.4	12.2	0.1
2016	강서구	강서구	100	49.7	11.5	7.5	6.1	1.3	5.6	6.1	3.3	2.8	6.1	0.1
2016	구로구	구로구	100	48.7	12.1	5.3	4.8	0.8	5.3	7	5.2	2.4	8.1	0.1
2016	금천구	금천구	100	51.3	14.8	5	4.9	0.4	4.4	5.9	3.4	1.4	8.5	0.1
2016	영등포구	영등포구	100	43.2	12.1	5.5	7.2	1.2	8.6	7.7	3.8	2.5	7.9	0.2
2016	동작구	동작구	100	47.5	14.8	6.8	7.5	1	5	6.4	3.6	1.9	5.5	0.1
2016	관악구	관악구	100	43.6	14.7	6.5	9.1	1.9	4.6	6.5	3.4	1.1	8.6	0
2016	서초구	서초구	100	37.9	14.3	7.1	6.8	2.1	6.8	8.6	3.5	3.4	9.3	0
2016	강남구	강남구	100	41.8	12.1	6.2	5.9	2.2	7	5.9	6.1	2.8	9.9	-
2016	송파구	송파구	100	42.9	16.2	6.8	4.9	2.3	6.3	6.3	2.5	4.6	7.1	0.1
2016	강동구	강동구	100	37	14.6	6.9	7.4	1.9	7.4	9.9	3.7	3	8.3	-
2018	서울시	서울시	100	29.5	20.6	7.8	4.7	1.4	9.9	10	1.6	1.3	13.2	0.1
2018	성별	남자	100	28.7	19.6	9.6	4.4	1.2	13.5	8.9	1.6	1.9	10.6	0.1
2018	성별	여자	100	30.2	21.7	6.2	5	1.7	6.4	11	1.6	0.7	15.6	0
2018	연령별	10대	100	17.3	10.6	26.6	4.2	0.9	10.4	15.2	3.1	1.3	10.5	-
2018	연령별	20대	100	21.4	20.1	17.6	2	1.7	9.5	17.1	2.2	1.6	6.8	-
2018	연령별	30대	100	22.6	30.5	8.2	3	1.2	7.5	14.1	1.5	1.7	9.7	0.1
2018	연령별	40대	100	27.1	24.9	5.5	3.7	1.2	10.8	10.3	1.3	1.3	13.6	0
2018	연령별	50대	100	32.8	20.3	2.8	5	1.5	11.6	6.2	1.5	1.4	16.6	0.1
2018	연령별	60대 이상	100	43.4	12.4	1.1	8.9	1.6	9.8	2.6	1.1	0.5	18.3	0.1
2018	학력별	중졸 이하	100	47.5	8.7	2.6	11.1	1.5	7.9	2.4	0.7	0.2	17.2	0.1
2018	학력별	고졸 이하	100	33	17.9	7.4	5.7	1.4	9.8	7.2	1.5	1	15.1	0.1
2018	학력별	대졸 이하	100	23.9	24.8	9.3	2.7	1.5	10.2	13	1.9	1.5	11.1	0
2018	학력별	대학원 이상	100	12.9	24.1	4.8	4.1	0.8	16.9	17.4	1.1	4.9	12.9	-
2018	소득별	100만원 미만	100	44.3	6.8	7.2	10.8	0.8	6.9	7.1	0.9	0.5	14.7	0.1
2018	소득별	100-200만원 미만	100	44.2	8.8	4.1	9.8	1.4	9	5	0.8	0.5	16.3	0.1
2018	소득별	200-300만원 미만	100	34.7	17	8.8	5.7	1.7	8.6	9.3	1.6	0.9	11.6	0
2018	소득별	300-400만원 미만	100	32.1	19	7.6	4.8	1.4	10.7	8.1	1.1	1.5	13.5	0.1
2018	소득별	400-500만원 미만	100	26	22.7	8.7	4.6	1.3	10.2	8.7	1.5	1.3	14.8	0.1
2018	소득별	500만원 이상	100	24.3	24.9	8	2.9	1.5	10.3	12.5	2	1.5	12.1	0
2018	혼인상태별	기혼	100	30.9	23.4	3.7	4.6	1.3	9.9	8	1.4	1.1	15.6	0.1
2018	혼인상태별	미혼	100	21.4	18.1	18	2.6	1.5	10.5	15.9	2.4	2	7.5	0
2018	혼인상태별	이혼/별거	100	38.9	20.2	4	8.5	1.1	7.9	7.1	0.4	1	10.8	0.1
2018	혼인상태별	사별	100	45.7	9.2	0.9	11.9	2.1	8.3	2.7	0.7	0.2	18.1	0.1
2018	지역대분류	도심권	100	29.1	19.1	9.1	3.8	2.3	12.5	6.7	2.9	1.3	13.1	0
2018	지역대분류	동북권	100	29.6	18.6	8.1	4.6	2.1	9.4	11.9	1.1	1.1	13.4	0
2018	지역대분류	서북권	100	29	23.2	4.8	5.1	1.2	8.9	11.6	1.3	1.5	13.2	0
2018	지역대분류	서남권	100	30.3	19.9	8.7	5.8	0.6	9.9	9.2	1.4	1.2	12.9	0.1
2018	지역대분류	동남권	100	28.2	23.9	7.4	3.2	1.5	10.6	8.1	2.4	1.5	13.2	0.1
2018	종로구	종로구	100	17.2	26	6.1	2.7	3.5	19.1	5.2	1.5	1	17.6	-
2018	중구	중구	100	30.9	10.4	18.3	6.2	4.7	9.8	4.7	1.7	0.7	12.5	0.1
2018	용산구	용산구	100	36.6	19.2	5.9	3.3	0.1	9.3	8.8	4.6	1.9	10.2	-
2018	성동구	성동구	100	45.3	13.2	6.9	4.6	0.5	7.1	9.2	0.5	1.2	11.4	-
2018	광진구	광진구	100	30.6	22.8	5	4.4	1	5.5	15	0.8	1.4	13.5	-
2018	동대문구	동대문구	100	28.7	13.3	7.5	6.7	1.2	9.6	21.9	2.3	0.9	8	0
2018	중랑구	중랑구	100	33.7	18.6	9.5	4.9	1.3	10.6	10.4	0.8	2.1	8.1	-
2018	성북구	성북구	100	21.8	18.4	7.2	5.5	3.5	10.1	14.1	0.4	1	17.9	-
2018	강북구	강북구	100	20.4	32.4	4.7	2.3	2.4	12.1	7.9	1	1	15.8	-
2018	도봉구	도봉구	100	33.7	18.3	12.3	4.4	4.4	7.3	8	2.3	0.9	8.4	-
2018	노원구	노원구	100	26.9	14.6	10.7	3.8	2.5	11.2	8.3	1.2	0.6	20	0.2
2018	은평구	은평구	100	38.6	15.7	4.2	3.6	1.3	7.8	10.9	0.7	1.9	15.2	0.1
2018	서대문구	서대문구	100	23.3	26.3	5.7	2.9	1	12.4	12.1	1.6	1.1	13.5	-
2018	마포구	마포구	100	22	30	4.8	8.9	1.4	7.2	11.9	1.8	1.4	10.4	-
2018	양천구	양천구	100	44.1	20.3	4	3.2	0.4	8.9	3.5	1.1	0.4	14.4	-
2018	강서구	강서구	100	38.9	13.9	9.3	8.2	0.4	11	8.3	1.1	0.9	7.9	-
2018	구로구	구로구	100	30.7	28.2	8	5.8	0.8	8.2	4.2	0.9	0.9	12.1	-
2018	금천구	금천구	100	40	19.8	10.7	1.6	0.6	8.2	6.5	0.3	0.9	11	0.4
2018	영등포구	영등포구	100	27	17.1	8.6	6.4	0.3	13.1	10.6	3.3	2.4	11.1	-
2018	동작구	동작구	100	15.2	24.5	8.2	3.1	0.1	11.6	10.2	2.1	2.1	22.9	-
2018	관악구	관악구	100	18.6	17.6	12	9.1	1.4	7.9	18.8	1.2	0.8	12.4	0.3
2018	서초구	서초구	100	23.4	28.5	5.7	3.6	1.7	10.1	10.3	0.6	1.6	14.6	-
2018	강남구	강남구	100	31.8	15.2	11.7	5.3	1.5	13.8	3.7	3.5	1.1	12.3	0
2018	송파구	송파구	100	24.7	31.7	5.4	0.9	0.8	10.6	5	2.5	1	17.1	0.3
2018	강동구	강동구	100	33.5	18.6	6.6	3.4	2.5	7.2	16.1	2.3	2.6	7.2	-
